"","K543R.bam","K544R.bam","K545L.bam","K546R.bam","V541L.bam","V542L.bam","V548L.bam","V550L.bam"
"ENSRNOG00000058041",0,0,0,0,0,0,0,0
"ENSRNOG00000051377",88,97,108,135,100,100,101,104
"ENSRNOG00000059310",0,1,0,0,0,0,2,3
"ENSRNOG00000017963",89,90,97,169,40,105,97,107
"ENSRNOG00000049259",433,474,485,570,372,447,462,524
"ENSRNOG00000016462",268,273,279,292,252,268,241,296
"ENSRNOG00000056694",44,44,58,68,24,46,59,54
"ENSRNOG00000049256",6,8,7,8,12,1,6,2
"ENSRNOG00000046712",38,25,30,36,27,16,15,8
"ENSRNOG00000054816",0,0,0,0,0,0,0,0
"ENSRNOG00000049881",0,0,0,0,0,0,0,0
"ENSRNOG00000047145",270,320,254,319,261,272,263,325
"ENSRNOG00000046353",13,20,26,24,8,18,11,30
"ENSRNOG00000054466",0,0,0,1,0,0,0,0
"ENSRNOG00000057057",0,1,0,1,0,0,1,0
"ENSRNOG00000053328",0,0,0,2,0,1,0,0
"ENSRNOG00000023081",0,0,0,0,0,0,0,0
"ENSRNOG00000016368",161,222,188,205,176,233,164,335
"ENSRNOG00000016286",0,1,0,0,0,2,0,0
"ENSRNOG00000053056",2,0,0,0,0,0,0,3
"ENSRNOG00000016011",44,27,64,61,38,36,80,95
"ENSRNOG00000019582",329,352,278,293,236,261,356,252
"ENSRNOG00000055235",0,1,0,0,0,0,0,0
"ENSRNOG00000019549",1028,1034,1040,1189,867,1007,1196,890
"ENSRNOG00000019544",106,168,162,139,152,153,143,154
"ENSRNOG00000019501",781,930,811,852,715,739,696,681
"ENSRNOG00000019489",290,358,281,339,419,353,381,407
"ENSRNOG00000054876",5,5,6,6,9,9,11,12
"ENSRNOG00000024280",0,0,0,0,0,0,0,0
"ENSRNOG00000019358",7,2,2,11,4,2,2,2
"ENSRNOG00000057689",0,0,0,0,0,0,0,0
"ENSRNOG00000055223",0,1,0,0,0,0,0,0
"ENSRNOG00000055166",0,0,0,0,0,0,0,0
"ENSRNOG00000018960",1925,2187,1859,1969,1647,1534,1743,1351
"ENSRNOG00000052241",0,0,0,0,0,0,0,0
"ENSRNOG00000018858",0,0,0,0,0,0,0,0
"ENSRNOG00000053113",0,0,0,0,0,0,0,0
"ENSRNOG00000018808",0,0,0,0,0,0,0,0
"ENSRNOG00000054156",0,0,0,0,0,0,0,0
"ENSRNOG00000024077",338,397,298,250,529,462,638,644
"ENSRNOG00000018773",133,193,154,225,151,180,182,215
"ENSRNOG00000059321",6,10,9,4,15,5,9,7
"ENSRNOG00000055161",2,2,4,3,4,6,6,3
"ENSRNOG00000018690",498,793,641,750,481,601,724,864
"ENSRNOG00000033265",0,0,0,0,0,0,0,0
"ENSRNOG00000059050",0,0,0,0,0,0,0,0
"ENSRNOG00000059359",0,0,0,0,0,0,0,0
"ENSRNOG00000060413",0,0,0,0,0,0,0,0
"ENSRNOG00000018191",0,0,0,0,0,0,0,0
"ENSRNOG00000060991",0,0,0,0,0,0,0,0
"ENSRNOG00000059866",2,3,3,0,1,1,0,0
"ENSRNOG00000018163",4,6,6,0,0,0,0,2
"ENSRNOG00000055098",0,0,0,0,0,0,0,0
"ENSRNOG00000018052",511,462,413,520,256,282,315,202
"ENSRNOG00000004144",76,169,94,134,133,120,139,147
"ENSRNOG00000060056",0,0,0,0,0,0,0,0
"ENSRNOG00000016919",1760,2142,1925,1945,1726,1879,1897,1940
"ENSRNOG00000057561",2,4,2,1,3,0,1,2
"ENSRNOG00000016728",191,184,172,168,228,165,215,172
"ENSRNOG00000056223",221,289,223,284,236,206,297,301
"ENSRNOG00000023531",6,1,2,8,0,2,5,5
"ENSRNOG00000016490",0,0,0,0,0,0,0,0
"ENSRNOG00000059546",0,0,0,0,0,0,0,0
"ENSRNOG00000054504",0,0,1,1,0,0,0,0
"ENSRNOG00000053507",3,6,1,0,0,0,1,1
"ENSRNOG00000053052",0,0,0,1,0,1,0,0
"ENSRNOG00000017030",1625,1998,1561,1956,1688,1681,1958,2064
"ENSRNOG00000016973",291,369,308,319,316,316,288,362
"ENSRNOG00000029049",1990,2330,1740,2226,1723,2157,2120,1549
"ENSRNOG00000058103",3,2,6,0,1,0,2,2
"ENSRNOG00000046874",432,539,365,491,521,563,546,703
"ENSRNOG00000017114",92,109,142,108,86,123,135,232
"ENSRNOG00000017889",78,72,53,90,62,73,92,69
"ENSRNOG00000018007",432,540,467,453,526,518,528,566
"ENSRNOG00000018012",951,1000,1023,1017,524,830,1000,1204
"ENSRNOG00000045491",0,0,0,0,0,0,0,0
"ENSRNOG00000018158",1814,2204,1650,1668,1697,2143,1875,2421
"ENSRNOG00000018207",1533,1971,1411,1348,2006,1842,1886,2496
"ENSRNOG00000018321",2,0,1,1,1,0,1,0
"ENSRNOG00000018524",755,914,857,741,934,960,1195,1931
"ENSRNOG00000058299",0,0,0,0,0,0,0,0
"ENSRNOG00000018762",113,125,122,109,106,102,107,109
"ENSRNOG00000018915",0,0,0,0,0,0,0,1
"ENSRNOG00000058258",0,0,0,0,0,0,0,0
"ENSRNOG00000018935",54,88,63,68,85,64,71,74
"ENSRNOG00000030210",39,44,49,43,28,37,48,63
"ENSRNOG00000054760",0,0,0,0,0,0,0,0
"ENSRNOG00000058069",0,0,0,0,0,0,0,0
"ENSRNOG00000019048",1173,1355,1303,1359,1268,1300,1339,1511
"ENSRNOG00000019091",1374,1645,1568,1731,1543,1576,1785,1757
"ENSRNOG00000019189",502,661,489,500,347,236,392,546
"ENSRNOG00000013975",189,215,192,215,205,159,212,208
"ENSRNOG00000014160",2931,3298,2571,3124,3578,3000,3812,4406
"ENSRNOG00000058152",2,0,2,1,2,1,2,2
"ENSRNOG00000051969",0,0,0,0,0,0,0,0
"ENSRNOG00000014582",427,447,347,403,455,390,498,487
"ENSRNOG00000023140",20,36,15,24,29,9,20,14
"ENSRNOG00000014965",0,0,0,0,0,0,0,0
"ENSRNOG00000014971",0,0,0,0,3,2,0,0
"ENSRNOG00000014997",2471,2603,2114,2588,2190,2288,2554,2381
"ENSRNOG00000051780",2,1,0,0,0,1,1,0
"ENSRNOG00000056441",0,0,0,0,0,0,0,0
"ENSRNOG00000016337",6,13,7,22,4,3,9,9
"ENSRNOG00000016625",1,0,0,0,1,0,0,0
"ENSRNOG00000053944",0,0,0,0,0,1,0,1
"ENSRNOG00000022946",0,0,0,0,0,0,4,0
"ENSRNOG00000017223",4,2,14,25,8,3,14,16
"ENSRNOG00000017412",18,19,15,11,12,11,16,12
"ENSRNOG00000017419",566,703,597,801,832,754,915,949
"ENSRNOG00000059864",0,0,0,0,0,0,0,0
"ENSRNOG00000055981",0,0,0,0,0,0,0,0
"ENSRNOG00000017731",704,996,792,1195,1155,1024,1226,1549
"ENSRNOG00000054620",10,22,20,20,10,8,19,11
"ENSRNOG00000055141",0,0,0,2,0,1,0,0
"ENSRNOG00000055547",87,90,94,123,77,99,95,94
"ENSRNOG00000044833",0,1,0,0,0,0,0,0
"ENSRNOG00000048297",789,696,754,731,531,957,948,800
"ENSRNOG00000060475",0,0,0,0,0,0,0,0
"ENSRNOG00000017367",0,0,0,0,0,0,0,0
"ENSRNOG00000049044",0,1,0,0,0,0,0,0
"ENSRNOG00000011243",3,1,0,1,1,0,0,2
"ENSRNOG00000011310",551,521,419,317,185,238,388,968
"ENSRNOG00000012229",8,7,9,12,13,5,3,2
"ENSRNOG00000024172",19,97,49,34,44,37,25,49
"ENSRNOG00000024149",1,5,1,2,2,0,1,1
"ENSRNOG00000024140",339,426,356,434,436,356,393,433
"ENSRNOG00000012415",613,865,720,762,864,710,763,898
"ENSRNOG00000012964",0,0,0,0,0,0,0,0
